,testId,instanceId,size,isEmpty,peek,peek_obj_type,calledMethod,pushInput,diff,size_p,isEmpty_p,peek_p,peek_obj_type_p,calledMethod_p,pushInput_p
6126,1597060821529:494f593e-5a03-4565-9bf7-2879baa9103e,1597060821529:d39cd72d-ecdb-404b-ba91-d0017f1a16fd,2,True,EmptyObject,class java.lang.String,pop,none,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
6128,1597060821529:494f593e-5a03-4565-9bf7-2879baa9103e,1597060821529:b9ab3ba4-62e3-4812-a1a6-e76a7c453b8a,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6130,1597060821529:3a9593cc-927a-46ba-952c-e8dffdefb6ba,1597060821529:9ee7cac2-3999-4519-9cbd-283968252038,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6131,1597060821529:3a9593cc-927a-46ba-952c-e8dffdefb6ba,1597060821529:9ee7cac2-3999-4519-9cbd-283968252038,2,True,EmptyObject,class java.lang.String,pop,none,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
6133,1597060821529:0c884f2a-1c41-4485-add1-f36c50ad3ff4,1597060821529:488e6d5c-efe6-45d9-8c12-237a103b4c99,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6134,1597060821529:0c884f2a-1c41-4485-add1-f36c50ad3ff4,1597060821529:488e6d5c-efe6-45d9-8c12-237a103b4c99,2,True,EmptyObject,class java.lang.String,pop,none,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
6136,1597060821528:f60ddb31-27d7-4b65-9344-07aea518eda3,1597060821528:04638d88-e064-49b5-b3d3-a4e16150e456,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6137,1597060821528:f60ddb31-27d7-4b65-9344-07aea518eda3,1597060821528:04638d88-e064-49b5-b3d3-a4e16150e456,2,True,EmptyObject,class java.lang.String,pop,none,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
6139,1597060821528:cf666b7d-e98d-4f4e-8d56-f79942bd6a86,1597060821528:ba379b26-d695-41f5-998e-1561c1d2af80,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6140,1597060821528:cf666b7d-e98d-4f4e-8d56-f79942bd6a86,1597060821528:ba379b26-d695-41f5-998e-1561c1d2af80,2,True,EmptyObject,class java.lang.String,pop,none,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
6142,1597060821528:cf666b7d-e98d-4f4e-8d56-f79942bd6a86,1597060821528:3b54030d-c9d2-455f-a0c7-2b7640919444,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6143,1597060821528:cf666b7d-e98d-4f4e-8d56-f79942bd6a86,1597060821528:3b54030d-c9d2-455f-a0c7-2b7640919444,3,False,0.0,class java.lang.Float,push,class java.lang.Float,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
6144,1597060821528:cf666b7d-e98d-4f4e-8d56-f79942bd6a86,1597060821528:3b54030d-c9d2-455f-a0c7-2b7640919444,4,False,1.0,class java.lang.Double,push,class java.lang.Double,Yes,3,False,0.0,class java.lang.Float,push,class java.lang.Float
6146,1597060821528:9adc8eea-e895-48e7-b570-71f6453b1680,1597060821528:3bfb301a-14f5-4dfd-83ea-2e687b7d9480,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,CTOR,none
6147,1597060821528:9adc8eea-e895-48e7-b570-71f6453b1680,1597060821528:3bfb301a-14f5-4dfd-83ea-2e687b7d9480,2,True,EmptyObject,class java.lang.String,pop,none,Yes,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
6149,1597060821528:9adc8eea-e895-48e7-b570-71f6453b1680,1597060821528:11b96ce5-fa58-4507-a3d8-77a2dfa7121a,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,CTOR,none
6150,1597060821528:9adc8eea-e895-48e7-b570-71f6453b1680,1597060821528:11b96ce5-fa58-4507-a3d8-77a2dfa7121a,2,True,EmptyObject,class java.lang.String,push,class java.lang.String,Yes,0,True,EmptyObject,EmptyObject,clear,none
6151,1597060821528:9adc8eea-e895-48e7-b570-71f6453b1680,1597060821528:11b96ce5-fa58-4507-a3d8-77a2dfa7121a,0,True,EmptyObject,EmptyObject,clear,none,No,2,True,EmptyObject,class java.lang.String,push,class java.lang.String
6152,1597060821528:9adc8eea-e895-48e7-b570-71f6453b1680,1597060821528:11b96ce5-fa58-4507-a3d8-77a2dfa7121a,0,True,EmptyObject,EmptyObject,clear,none,No,0,True,EmptyObject,EmptyObject,clear,none
